text,emotion,bias/distortion,context,feedback/insight,behavioral_recommendation,progress_tracking,motivation,perception,habit,social_influence,attention,memory,trust,past_experience,decision_making,adaptive_behavior,identity,situational_trigger,cultural
"""Boss meeting with colleague privately must mean I'm being sidelined. They're probably discussing how to replace me.""",abandonment,"mind reading, catastrophizing",work,Professional attention shift triggering job insecurity,Request regular performance feedback,Workplace security,Competence motivation,Threat-focused perception,Defensive posturing pattern,Workplace loyalty myths,Hyperfocus on exclusion signs,Selective recall of job losses,Diminished trust in professional stability,Similar past job insecurities,Preemptive quitting decisions,Difficulty maintaining confidence,"""Replaceable worker"" identity",Management meeting situation,Perfect employee retention ideal
"""Group chat going silent after my message confirms nobody values my input. I should just leave before being officially excluded.""",abandonment,"emotional reasoning, overgeneralization",social,Communication lull triggering social deletion fear,Practice allowing natural conversation rhythms,Social confidence,Inclusion motivation,Rejection-focused perception,Premature withdrawal pattern,Constant connectivity culture,Hyperfocus on response timing,Selective recall of social exclusions,Diminished trust in group belonging,Similar past social anxieties,Self-exile decisions,Difficulty tolerating pauses,"""Group outsider"" identity",Chat silence situation,Instant response expectation
"""Pet preferring my partner's lap feels like ultimate betrayal. Even animals find me lacking.""",abandonment,"personalization, magnification",home,Affection preference triggering core rejection,Bond through alternative care activities,Pet relationship,Nurturance motivation,Deficit-focused perception,Withdrawal pattern,Anthropomorphizing tendencies,Hyperfocus on rejection cues,Selective recall of affection failures,Diminished trust in bonding capacity,Similar past relational insecurities,Neglect decisions,Difficulty sharing connections,"""Unlovable being"" identity",Pet choice situation,Exclusive attachment ideal
"""Doctor transferring my care must be because I'm a hopeless case. They're abandoning me to someone less experienced.""",abandonment,"personalization, mind reading",health,Provider change triggering medical rejection fear,Clarify transition reasons in writing,Healthcare continuity,Wellness motivation,Rejection-focused perception,Doctor-shopping pattern,Medical savior fantasies,Hyperfocus on transition threats,Selective recall of treatment failures,Diminished trust in healthcare systems,Similar past provider changes,Avoidance decisions,Difficulty accepting care transitions,"""Medical abandonee"" identity",Provider change situation,Perfect continuity expectation
"""Friend rescheduling lunch feels like the beginning of the end. Soon they'll stop pretending to tolerate me.""",abandonment,"fortune telling, magnification",friendship,Plan change triggering friendship dissolution fear,Practice flexible rescheduling without meaning-making,Social resilience,Connection motivation,Fragility-focused perception,Protest behavior pattern,Flaky friend stereotypes,Hyperfocus on schedule changes,Selective recall of friendship losses,Diminished trust in relational endurance,Similar past friendship endings,Premature cutoff decisions,Difficulty allowing flexibility,"""Temporary friend"" identity",Reschedule situation,Perfect reliability ideal
"""Support group member not recognizing me proves I'm forgettable even among peers. My pain isn't memorable enough to warrant remembrance.""",abandonment,"personalization, overgeneralization",community,Anonymous moment triggering existential erasure,Reintroduce self without assumption of malice,Community building,Visibility motivation,Invisibility-focused perception,Withdrawal pattern,Shared struggle bonding myths,Hyperfocus on recognition failures,Selective recall of being overlooked,Diminished trust in social imprint,Similar past anonymity pains,Avoidance decisions,Difficulty asserting presence,"""Forgettable person"" identity",Group meeting situation,Instant recognition expectation
"""Colleagues discussing advanced concepts I don't understand makes me feel like an intellectual fraud. How did I even get hired here?""",inferiority,"comparison, imposter syndrome",work,Knowledge gap triggering professional inadequacy,Create curated learning plan for specific gaps,Skill development,Competence motivation,Deficit-focused perception,Overcompensation pattern,Workplace genius culture,Hyperfocus on knowledge gaps,Selective recall of confusion moments,Diminished trust in hiring judgment,Similar past knowledge insecurities,Avoidance decisions,Difficulty acknowledging learning curve,"""Intellectual fraud"" identity",Technical discussion situation,Instant expertise expectation
"""Seeing friends' luxurious vacations while I budget carefully reinforces my lifelong 'less than' status. I'll never measure up financially.""",inferiority,"comparison, overgeneralization",social,Lifestyle difference triggering class shame,Curate gratitude for non-material riches,Social comparison,Status motivation,Scarcity-focused perception,Envy pattern,Consumerist display culture,Hyperfocus on perceived lack,Selective recall of financial limitations,Diminished trust in life trajectory,Similar past status anxieties,Overspending decisions,Difficulty defining personal success,"""Economically inferior"" identity",Social media exposure situation,Wealth display norm
"""My partner's ex was more attractive/successful - why would they choose me except out of pity or lowered standards?""",inferiority,"mind reading, disqualifying the positive",relationship,Romantic comparison triggering desirability doubt,List specific qualities you bring to relationship,Romantic security,Worthiness motivation,Deficit-focused perception,Self-sabotage pattern,Romantic ranking culture,Hyperfocus on perceived shortcomings,Selective recall of rejection experiences,Diminished trust in partner's choice,Similar past desirability crises,Testing decisions,Difficulty accepting love,"""Settled-for partner"" identity",Ex mention situation,Perfect partner mythology
"""Neighbor's perfect home/garden highlights my domestic failures. Why can't I get my act together like normal adults?""",inferiority,"should statements, comparison",community,Lifestyle comparison triggering competence shame,Focus on one manageable home improvement area,Domestic confidence,Mastery motivation,Failure-focused perception,Avoidance pattern,Pinterest-perfect home ideals,Hyperfocus on domestic flaws,Selective recall of household failures,Diminished trust in adulting capacity,Similar past domestic insecurities,Neglect decisions,Difficulty celebrating small wins,"""Domestic failure"" identity",Neighborhood walk situation,Perfect homemaking standard
"""Other parents make parenting look effortless while I struggle daily. My kids probably wish they had someone more competent.""",inferiority,"comparison, mind reading",parenting,Parenting challenge triggering adequacy crisis,Identify specific parenting strengths regardless of difficulty,Parental confidence,Nurturing motivation,Deficit-focused perception,Overcompensation pattern,Social media parenting myths,Hyperfocus on struggles,Selective recall of parenting fails,Diminished trust in parental instincts,Similar past competence crises,Permissiveness decisions,Difficulty accepting good-enough parenting,"""Inadequate parent"" identity",Playground situation,Natural parenting genius myth
"""At reunions, classmates' impressive careers spotlight my mediocre path. I'm clearly the underachiever they all pity.""",inferiority,"mind reading, overgeneralization",social,Life course comparison triggering achievement shame,Craft authentic life narrative beyond career metrics,Self-definition,Purpose motivation,Failure-focused perception,Avoidance pattern,Careerist achievement culture,Hyperfocus on perceived shortcomings,Selective recall of professional stalls,Diminished trust in life choices,Similar past reunion anxieties,Exaggeration decisions,Difficulty valuing alternate paths,"""Underachiever"" identity",Reunion situation,Linear success expectation
"""Gym regulars' perfect bodies make me want to hide. Why bother working out when I'll never look like that?""",inferiority,"comparison, all-or-nothing thinking",fitness,Physical comparison triggering body shame,Focus on functional fitness over aesthetics,Exercise motivation,Health motivation,Deficit-focused body perception,Avoidance pattern,Fitness industry ideals,Hyperfocus on perceived flaws,Selective recall of fitness failures,Diminished trust in body potential,Similar past gym insecurities,Self-sabotage decisions,Difficulty separating health from appearance,"""Physically inferior"" identity",Gym environment situation,Perfect body standard
"""Book club members' brilliant insights reveal my shallow comprehension. I'll never be as cultured or intelligent.""",inferiority,"mental filtering, labeling",social,Intellectual comparison triggering cognitive shame,Prepare one discussion point in advance,Learning engagement,Growth motivation,Deficit-focused perception,Withdrawal pattern,Intellectual elitism influence,Hyperfocus on knowledge gaps,Selective recall of silent moments,Diminished trust in cognitive ability,Similar past intellectual insecurities,Pretension decisions,Difficulty valuing unique perspective,"""Uncultured participant"" identity",Literary discussion situation,Instant erudition expectation
"""Seeing confident public speakers kills my presentation hopes. I'll never command a room like that - why even try?""",inferiority,"fortune telling, comparison",professional,Skill comparison triggering competence crisis,Practice in small supportive groups first,Communication growth,Expression motivation,Deficit-focused perception,Avoidance pattern,TED Talk perfection culture,Hyperfocus on perceived flaws,Selective recall of speaking fails,Diminished trust in voice value,Similar past performance anxieties,Self-sabotage decisions,Difficulty acknowledging progress,"""Ineffective communicator"" identity",Presentation situation,Born orator myth
"""Artist friends' stunning work makes me want to quit creating. My mediocre efforts are embarrassing by comparison.""",inferiority,"comparison, disqualifying the positive",creative,Talent comparison triggering creative shame,Create small private pieces without comparison,Artistic expression,Authenticity motivation,Deficit-focused perception,Abandonment pattern,Artistic genius mythology,Hyperfocus on skill gaps,Selective recall of creative failures,Diminished trust in creative voice,Similar past creative insecurities,Avoidance decisions,Difficulty maintaining intrinsic joy,"""Untalented hack"" identity",Creative showcase situation,Inborn talent narrative
"""I finally got a gym membership but haven't gone once. Why bother? I'll never stick with it like I never stick with anything.""",self-defeat,"fortune telling, overgeneralization",health,Preemptive surrender to predicted failure,Schedule just 5-minute visits to build routine,Fitness initiation,Wellness motivation,Defeat-focused perception,Avoidance pattern,Quick-fix fitness culture,Hyperfocus on past failures,Selective recall of abandoned efforts,Diminished trust in follow-through,Similar past initiative abandonments,Self-sabotage decisions,Difficulty tolerating beginner phase,"""Quitter"" identity",Gym signup situation,Instant transformation expectation
"""The date went well so I canceled the second one. Better to end it now before they discover how boring I really am.""",self-defeat,"mind reading, magnification",dating,Premature relationship sabotage,Allow gradual self-disclosure across multiple dates,Romantic risk,Connection motivation,Rejection-focused perception,Premature withdrawal pattern,Romantic perfection myths,Hyperfocus on perceived flaws,Selective recall of dating failures,Diminished trust in relational potential,Similar past intimacy fears,Avoidance decisions,Difficulty tolerating vulnerability,"""Unworthy partner"" identity",Post-date situation,Flawless compatibility ideal
"""I was offered a promotion but turned it down. I'd just fail at the higher level and embarrass myself.""",self-defeat,"catastrophizing, fortune telling",career,Professional growth avoidance,Request gradual responsibility increase with mentorship,Career development,Achievement motivation,Incompetence-focused perception,Self-limitation pattern,Workplace perfectionism,Hyperfocus on potential failures,Selective recall of past struggles,Diminished trust in growth capacity,Similar past opportunity fears,Status quo decisions,Difficulty embracing stretch roles,"""Promotion phobic"" identity",Career advancement situation,Effortless success expectation
"""Deleted my novel draft again. It's garbage compared to real writers' work - why keep deluding myself?""",self-defeat,"comparison, disqualifying the positive",creative,Creative work destruction,Save all drafts with date to track evolution,Creative process,Expression motivation,Failure-focused perception,Abandonment pattern,Literary genius mythology,Hyperfocus on perceived flaws,Selective recall of creative blocks,Diminished trust in artistic voice,Similar past project abandonments,Self-censorship decisions,Difficulty valuing process over product,"""Failed writer"" identity",Creative review situation,Perfect first draft myth
"""Bought healthy groceries but ordered takeout instead. This is why I'll always be overweight - no willpower.""",self-defeat,"labeling, all-or-nothing thinking",wellbeing,Health effort sabotage,Keep one healthy meal option readily available,Habit change,Wellness motivation,Defeat-focused perception,Self-sabotage pattern,Diet culture extremism,Hyperfocus on perceived failures,Selective recall of willpower lapses,Diminished trust in change capacity,Similar past health initiative abandonments,Abandonment decisions,Difficulty maintaining moderate approach,"""Hopeless case"" identity",Meal decision situation,Perfect willpower ideal
"""Missed another therapy appointment. I'm too broken for help anyway - some people are just meant to be miserable.""",self-defeat,"overgeneralization, labeling",mental health,Treatment avoidance,Schedule next session immediately with reminder alerts,Therapeutic engagement,Healing motivation,Hopelessness-focused perception,Avoidance pattern,Mental health stigma influence,Hyperfocus on perceived defectiveness,Selective recall of treatment failures,Diminished trust in recovery potential,Similar past help-seeking abandonments,Isolation decisions,Difficulty maintaining therapeutic alliance,"""Untreatable case"" identity",Therapy scheduling situation,Quick-fix therapy expectation
"""Was almost happy today but deliberately listened to sad music. Happiness never lasts for me - better to stay in familiar misery.""",self-defeat,"emotional reasoning, fortune telling",mood,Emotional state sabotage,Notice and prolong small positive moments intentionally,Mood regulation,Wellbeing motivation,Threat-focused perception,Self-sabotage pattern,Tragic artist narratives,Hyperfocus on negative emotions,Selective recall of disappointment,Diminished trust in joy sustainability,Similar past happiness fears,Undermining decisions,Difficulty tolerating positive affect,"""Doomed melancholic"" identity",Positive moment situation,Constant happiness suspicion
"""Finally saved money but splurged on something stupid. I'll never be financially responsible - why even try?""",self-defeat,"overgeneralization, magnification",finance,Financial progress sabotage,Automate small savings transfers before spending,Money management,Security motivation,Failure-focused perception,Self-undermining pattern,Consumerist instant gratification,Hyperfocus on spending lapses,Selective recall of money mistakes,Diminished trust in fiscal responsibility,Similar past savings abandonments,Overspending decisions,Difficulty celebrating small wins,"""Financial failure"" identity",Savings milestone situation,Perfect money management ideal
"""Started making friends but canceled plans last minute. They'll eventually realize I'm boring - better to bail first.""",self-defeat,"mind reading, fortune telling",social,Social connection sabotage,Commit to very short initial social interactions,Friendship building,Belonging motivation,Rejection-focused perception,Premature withdrawal pattern,Social perfection myths,Hyperfocus on perceived inadequacies,Selective recall of social failures,Diminished trust in relational value,Similar past friendship abandonments,Isolation decisions,Difficulty tolerating social vulnerability,"""Friendless misfit"" identity",Social invitation situation,Effortless charm expectation
"""Got accepted to grad school but probably won't go. I'd just fail out and waste everyone's time and money.""",self-defeat,"catastrophizing, fortune telling",education,Academic opportunity sabotage,Visit campus and speak with current students,Educational pursuit,Growth motivation,Failure-focused perception,Self-limitation pattern,Academic elitism influence,Hyperfocus on potential struggles,Selective recall of learning challenges,Diminished trust in intellectual capacity,Similar past educational fears,Avoidance decisions,Difficulty embracing academic challenge,"""Academic fraud"" identity",Acceptance situation,Perfect student myth
"""I train 4 hours daily for the marathon while convinced I'll still fail.""","determined, self-doubt",fortune telling,athletics,Paradoxical perseverance,Schedule deload weeks to prevent injury,Training log,Achievement needs,Body as unreliable,Overtraining,Running community,Fixating on competitors,Past injuries,Self-trust conditional,DNF races,Cross-training,Pain ignoring,Athlete identity,Race dates,No pain no gain
"""I work 80-hour weeks building my startup while certain I'm not cut out for this.""","determined, self-doubt",impostor syndrome,entrepreneurship,Effort as compensation,Conduct skills inventory assessment,Milestone tracker,Legacy drive,Competence as facade,Sleep deprivation,Founder culture,Comparing to unicorns,Early small wins,Leadership distrust,Past failures,Advisory board,Burnout,Entrepreneur identity,Funding rounds,Hustle porn
"""I rewrite my novel draft 12 times believing each version is still terrible.""","determined, self-doubt",mental filtering,creative,Perfectionism masquerading as work,Set version control deadlines,Revision history,Artistic standards,Work as never good,Endless tweaking,Literary circles,Focusing on flaws,Initial inspiration,Creative distrust,Rejections,Beta readers,Procrastination,Writer identity,Contests,Genius myth
"""I study 10 hours daily for the bar exam while convinced I'll fail.""","determined, self-doubt",catastrophizing,academics,Preparation overkill as anxiety control,Implement Pomodoro technique,Study hours,Professional validation,Knowledge as insufficient,Cramming,Law school peers,Monitoring knowledge gaps,Past academic success,Self-trust eroded,Exam failures,Practice tests,Panic attacks,Jurist identity,Test date,Meritocracy
"""I pursue fertility treatments for years while believing I don't deserve motherhood.""","determined, self-doubt",labeling,reproduction,Worthiness conflict,Separate worth from outcomes,Treatment journal,Biological drive,Body as defective,Procedure obsession,Mommy blogs,Comparing to others,Childhood parenting,Fertility distrust,Miscarriages,Emotional prep,Numbness,Mother identity,Due dates,Pronatalism
"""I practice my TED Talk 100+ times still fearing I'll humiliate myself.""","determined, self-doubt",magnification,performance,Overcompensating insecurity,Video record final rehearsals,Practice log,Impact desire,Voice as shaky,Perfectionistic drilling,Speaker expectations,Analyzing gestures,Past presentations,Stage distrust,Embarrassments,Audience testing,Exhaustion,Thought leader identity,Event date,Perfectionism
"""I diet rigidly for months while certain one slip will ruin everything.""","determined, self-doubt",all-or-nothing thinking,health,Control illusion,Introduce planned flexibility meals,Nutrition journal,Body image,Food as moral,Weighing daily,Diet culture,Scanning for flaws,Past weight loss,Body distrust,Yo-yo cycles,Maintenance plan,Secret binges,Dieter identity,Holidays,Thin ideal
"""I save obsessively for retirement while convinced I'll die broke.""","determined, self-doubt",emotional reasoning,finance,Scarcity mindset,Consult fiduciary for reality check,Savings tracker,Security needs,Future as precarious,Extreme frugality,FIRE movement,Market watching,Childhood poverty,Financial distrust,Recessions,Balanced budget,Hoarding,Saver identity,Market dips,American Dream
"""I apply to 200 jobs while believing I'm fundamentally unemployable.""","determined, self-doubt",overgeneralization,career,Persistence as self-flagellation,Quality over quantity applications,Application log,Survival instinct,Skills as worthless,Spray-and-pray,LinkedIn success,Focusing on gaps,Past employment,Professional distrust,Layoffs,Targeted resumes,Desperation,Jobseeker identity,Rejections,Work ethic
"""I train my rescue dog daily while sure I'm failing her rehabilitation.""","determined, self-doubt",minimization,pets,Unrecognized progress,Video document baseline vs. now,Training journal,Compassion,Efforts as inadequate,Over-scheduling,Dog park comparisons,Fixating on setbacks,Early small wins,Handler distrust,Past failures,Professional eval,Exhaustion,Pet parent identity,Behavioral episodes,Perfect training
"""My chronic illness makes me feel like a ghost watching life through windows.""","despair, isolation",emotional reasoning,health,Medical alienation,Start with virtual support groups,Symptom diary,Connection needs,Body as prison,Bed rotting,Healthy peers,Monitoring losses,Pre-illness vitality,Social distrust,Failed treatments,Small interactions,Grief spirals,Patient identity,Social media,Wellness culture
"""After my spouse died, I stopped answering calls because no one understands.""","despair, isolation",mind reading,grief,Bereavement loneliness,Designate 1 safe contact person,Communication log,Protection,Others as tourists,Phone avoidance,Grief norms,Comparing to past,Wedding memories,Empathy distrust,Platitudes,Gradual reconnection,Numbness,Widow identity,Anniversaries,Grief timelines
"""My depression convinces me I'm burdening friends so I disappear for months.""","despair, isolation",personalization,mental health,Self-stigmatizing withdrawal,Pre-arranged check-in system,Social tracker,Worthiness fears,Self as contaminant,Canceling plans,Mental health awareness,Scanning for annoyance,Past connections,Friendship distrust,Rejections,Low-stakes texts,Self-loathing,Depressed identity,Holidays,Strong friend
"""As the only Black engineer at my firm, I eat lunch alone every day.""","despair, isolation",overgeneralization,workplace,Racialized occupational isolation,Identify affinity groups remotely,Inclusion log,Belonging needs,Workplace as hostile,Avoiding cafeteria,Corporate DEI,Monitoring microaggressions,College camaraderie,Institutional distrust,Tokenism,Professional orgs,Code-switching,Token identity,Team events,Colorblind myths
"""My social anxiety makes parties torture but staying home confirms I'm unlovable.""","despair, isolation",false dilemma,social,Avoidance paradox,Schedule post-event decompression,Exposure journal,Connection desire,People as threats,Last-minute canceling,Extrovert ideals,Predicting rejection,Childhood isolation,Social trust damaged,Humiliations,Arrive-early strategy,Rumination,Outsider identity,Invitations,Popularity
"""Long COVID left me housebound while friends moved on with their lives.""","despair, isolation",magnification,illness,Abandonment in chronicity,Curate disabled community online,Activity log,Shared experience,World as passing by,Social media envy,Able-bodied norms,Tracking energy,Pre-illness adventures,Future distrust,Dismissals,Virtual hangouts,Resentment,Spoonie identity,Group photos,Productivity
"""My divorce made me a 'third wheel' in all my married friend groups.""","despair, isolation",labeling,relationships,Social identity rupture,Initiate 1:1 hangs vs. couples,Friendship map,Rebuilding needs,Self as fifth wheel,Avoiding gatherings,Couple-centric,Comparing dynamics,Single past,Social distrust,Awkwardness,New hobby groups,Bitterness,Single identity,Date nights,Marriage norms
"""As a sober person, bars are off-limits and my drinking friends forgot me.""","despair, isolation",all-or-nothing thinking,recovery,Social sobriety challenges,Host alcohol-free game nights,Sobriety log,Fun redefinition,Parties as dangerous,Isolating,Drinking culture,Focusing on exclusion,Drunk memories,Friendship distrust,Relapses,AF venues,Loneliness,Sober identity,Happy hours,Alcohol centrality
"""My miscarriage left me stranded between childfree and parent friend groups.""","despair, isolation",dichotomous thinking,loss,Reproductive limbo,Find pregnancy loss support collective,Healing timeline,Specific grief,Self as category error,Avoiding babies,Pronatalism,Scanning bellies,Pregnancy hopes,Community distrust,Silenced pain,Selective sharing,Jealousy,Bereaved identity,Baby showers,Parenthood
"""Deaf in a hearing family, I sit through dinners understanding nothing.""","despair, isolation",minimization,disability,Communication isolation,Teach family basic signs,Inclusion tracker,Access needs,Conversation as spectator sport,Early exits,Hearing norms,Lipreading fails,Childhood inclusion,Family trust conditional,Dismissals,Assistive tech,Resentment,Deaf identity,Holidays,Oralism
"""I've memorized their Spotify playlist and listen daily though we've barely spoken.""",infatuation,fantasy bonding,crush,Projection as intimacy,Limit playlist to 3x/week,Interaction log,Connection needs,Potential as reality,Stalking,Romantic ideals,Analyzing tastes,Past limerence,Self-trust conditional,Unrequited loves,Social media restraint,Obsession,Lover identity,New songs,Soulmate myths
"""I cancel plans hoping they'll text, then refresh my phone every 30 seconds.""",infatuation,emotional reasoning,dating,Availability anxiety,Schedule mandatory distraction,Response time tracker,Validation,Attention as oxygen,Notification checking,Dating apps,Monitoring online status,Past ghosting,Trust issues,Rejection,Digital detox,Withdrawal,Partner identity,Seen receipts,Instant gratification
"""I idealize their flaws - even their unreliability seems charmingly spontaneous.""",infatuation,magnification,attraction,Cognitive distortion,Create balanced pros/cons list,Reality check,Dopamine drive,Object as perfect,Excusing red flags,Rom-coms,Selective perception,Past disillusionment,Judgment distrust,Toxic relationships,Friend vetting,Denial,Romantic identity,Flirtation,Love blindness
"""I spend hours crafting texts to seem clever but not desperate.""",infatuation,mind reading,communication,Performance anxiety,Draft then wait 1 hour to send,Message log,Impression mgmt,Self as unworthy,Rewriting,Dating advice,Analyzing word choice,Past missteps,Authenticity issues,Awkwardness,Natural response,Exhaustion,Suitor identity,Typing bubbles,Game playing
"""I rearrange my schedule for chance encounters at their gym.""",infatuation,fortune telling,pursuit,Serendipity manufacturing,Attend different branch,Routine tracker,Fate belief,Coincidence as sign,Route planning,Stalking norms,Noting their habits,Past crushes,Boundary issues,Restraining orders,Alternate workouts,Guilt,Admirer identity,Check-ins,Romantic destiny
"""I ignore friends who warn they're bad news - they just don't see their magic.""",infatuation,dismissal,relationships,Defensive idealization,Journal third-party observations,Concern log,Self-delusion,Critics as jealous,Isolating,Peer warnings,Rejecting evidence,Past disasters,Advice distrust,Bad choices,Slow disclosure,Defiance,Rebel identity,Interventions,Love conquers all
"""I've spent $2k on gifts hoping to prove I'm worth loving.""",infatuation,emotional reasoning,courtship,Purchased affection,Set $50 monthly gift limit,Spending tracker,Worth proving,Money as love,Over-giving,Consumerism,Tracking reciprocity,Childhood lack,Self-worth issues,Materialism,Homemade gifts,Financial stress,Giver identity,Holidays,Pricey love
"""I analyze every glance and touch for hidden meaning for hours.""",infatuation,confirmation bias,attraction,Overinterpretation,Fact-check with trusted friend,Behavior log,Certainty craving,Neutral as significant,Replaying moments,Body language,Selective attention,Past misreads,Perception distrust,Mixed signals,Reality testing,Fatigue,Analyst identity,Accidental contact,Sexual tension
"""I changed my career plans to align with their interests after 3 dates.""",infatuation,enmeshment,identity,Premature fusion,Revisit pre-them goals list,Decision journal,Merging needs,Self as incomplete,Identity shifting,Codependency,Future fantasizing,Lost opportunities,Self-trust eroded,Abandonment,6-month rule,Erasure,Chameleon identity,Life talks,Completion myths
"""I convinced myself the love bombing is genuine passion after 2 weeks.""",infatuation,minimization,romance,Intensity confusion,Research healthy pacing,Red flag list,Attachment hunger,Red flags as exciting,Boundary ignoring,Toxic positivity,Rationalizing,Past love bombs,Danger distrust,Trauma bonds,Slow down,Addiction,Thrill-seeker identity,Overwhelming gestures,Dramatic love
"""I pretend to understand meetings while drowning in jargon I'm too ashamed to ask about.""","shame, self-doubt",impostor syndrome,workplace,Fear of exposure,Schedule 1:1 clarification chats,Knowledge log,Competence needs,Questions as weakness,Nodding along,Corporate lingo,Focusing on gaps,Past successes,Self-trust eroded,Mockery,Pre-meeting prep,Avoidance,Professional identity,Technical terms,Know-it-all
"""I obsess over minor social missteps from years ago that nobody remembers.""","shame, self-doubt",magnification,social,Retroactive embarrassment,Practice memory reappraisal,Incident journal,Acceptance,Past as haunting,Ruminating,Social norms,Scanning for flaws,Childhood humiliations,Self-compassion,Bullying,Cognitive restructuring,Cringing,Outsider identity,Reunions,Perfectionism
"""I avoid dating apps because creating a profile feels like arrogant self-promotion.""","shame, self-doubt",labeling,romance,Self-worth deficit,"Try ""just facts"" profile draft",Attempt log,Connection needs,Self as unremarkable,Procrastination,Dating market,Comparing profiles,Past rejections,Desirability distrust,Ghosting,Friend feedback,Defeat,Single identity,Swiping,Modesty
"""I hide my childhood trauma because 'others had it worse' and I should be over it.""","shame, self-doubt",comparison suffering,mental health,Pain invalidation,Write unsent letter to younger self,Healing timeline,Validation,Suffering as competitive,Minimizing,Trauma Olympics,Monitoring others,Early survival,Self-trust conditional,Dismissals,Selective sharing,Numbness,Survivor identity,Triggers,Bootstraps
"""I feel like a fraud when praised because they don't know how much I struggle.""","shame, self-doubt",disqualifying positives,achievement,Success dysphoria,"Keep ""evidence file"" of praise",Accomplishment log,Worthiness,Merit as accident,Deflecting,Perfectionism,Focusing on effort,Past achievements,Recognition distrust,Early failures,Accept thanks,Discomfort,Imposter identity,Awards,Humility
"""I'm a therapist who needs therapy but fear being seen as hypocritical.""","shame, self-doubt",should statements,professional,Healer paradox,Seek therapist specializing in clinician care,Self-care log,Role conflict,Help as failure,Burnout,Stigma,Monitoring competence,Training days,Professional distrust,Judgment,Anonymous support,Secretiveness,Wounded healer,Client stories,Omnipotence
"""I'm ashamed of my cluttered home so I never invite anyone over.""","shame, self-doubt",personalization,environment,Mess moralizing,Start with 5-minute daily tidy,Progress photos,Comfort needs,Space as reflection,Avoidance,Minimalism,Scanning for dirt,Childhood chaos,Hospitality distrust,Shaming,One-room rule,Overwhelm,Homemaker identity,Unexpected guests,Domestic bliss
"""I feel childish for still caring about my high school bully's opinion.""","shame, self-doubt",emotional reasoning,self-worth,Lingering trauma impact,Write bully's perspective (teen vs. now),Growth journal,Closure,Past as present,Social media stalking,Maturity norms,Ruminating on slights,Painful memories,Self-trust,Unprocessed pain,Letter burning,Anger,Adult identity,Reunions,Letting go
"""I'm a nutritionist who secretly binge eats - the ultimate hypocrite.""","shame, self-doubt",black-and-white thinking,health,Professional-personal split,"Practice ""expert-patient"" separation",Hunger log,Self-compassion,Body as betrayer,Secret eating,Diet culture,Monitoring hunger,Early joy in food,Body distrust,Restriction,Mechanical eating,Shame cycles,Wounded expert,Client meals,Wellness
"""I feel ashamed for grieving my pet 'too much' when people lose humans.""","shame, self-doubt",minimization,loss,Disenfranchised grief,Create memorial ritual,Grief diary,Love needs,Pain as invalid,Hiding tears,Hierarchy of loss,Comparing grief,Bond memories,Self-trust,Dismissals,Support groups,Isolation,Pet parent identity,Gotcha day,Human exceptionalism
"""I stopped job searching after 200 rejections - the system's rigged against me.""","defeat, resignation",overgeneralization,employment,Structural fatigue,Volunteer to rebuild confidence,Skills inventory,Hope needs,Market as hopeless,Application avoidance,LinkedIn success,Focusing on stats,Past interviews,Institutional distrust,Ageism,Informational interviews,Apathy,Unemployed identity,Bills,Meritocracy
"""My marriage is dead but divorcing feels pointless at 65 - I'll die alone anyway.""","defeat, resignation",fortune telling,relationships,Late-life fatalism,Schedule trial separation,Happiness log,Autonomy,Future as fixed,Coexisting,Societal norms,Scanning for flaws,Early love,Self-trust,Past failures,Legal consult,Numbness,Spouse identity,Anniversaries,Golden years
"""Climate change is inevitable so I've stopped recycling - we're all doomed.""","defeat, resignation",helplessness,activism,Collective action fatigue,Join local resilience planning,Action diary,Agency needs,Efforts as drops,Numbing out,Doomerism,Focusing on worst data,Past engagement,Societal distrust,Policy failures,One micro-action,Guilt,Citizen identity,Disasters,Individualism
"""I quit dating after being ghosted again - love isn't for people like me.""","defeat, resignation",labeling,romance,Attachment wound,Try platonic meetups first,Social log,Connection,Rejection as destiny,App deletion,Dating culture,Monitoring exits,Past heartbreaks,Intimacy distrust,Patterns,Friendship focus,Bitter,Single identity,Valentine's,Soulmate
"""My chronic pain means I'll never work again - why even try?""","defeat, resignation",magnification,disability,Medical despair,Explore remote micro-tasks,Ability tracker,Purpose,Body as prison,Bed rest,Ableism,Scanning limitations,Past career,Self-trust,Failed treatments,Vocational rehab,Giving up,Patient identity,Doctor visits,Productivity
"""I'll always be fat - every diet fails so why keep torturing myself?""","defeat, resignation",all-or-nothing thinking,body image,Weight cycling trauma,Pursue health metrics over weight,Non-scale log,Acceptance,Change as impossible,Yo-yo dieting,Thin ideal,Focusing on setbacks,Childhood shame,Body distrust,Regain,Joyful movement,Self-loathing,Fat identity,Clothing,Beauty
"""My novel got rejected 50 times - clearly I have no talent.""","defeat, resignation",mental filtering,creative,Artistic abandonment,Submit to smaller presses,Submission log,Expression,Skill as fixed,Manuscript hiding,Bestseller culture,Comparing to success,Early joy,Creative distrust,Criticism,Writing groups,Blocked,Writer identity,Bookstores,Overnight success
